"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"RNU6-745P",266,240,202,186,267,237,282,205
"AC087699.1",1077,881,1165,1016,1000,807,1117,842
"SALRNA3",100,64,99,102,75,42,128,75
"AC009269.2",298,261,356,344,402,354,467,366
"AC009269.5",227,188,262,273,198,183,252,182
"RPL29P30",39,26,33,37,21,17,18,20
"RPL5P3",569,531,473,444,554,490,608,473
"THSD4",487,430,596,461,361,292,412,366
"CT62",21,10,17,14,19,15,18,17
"RNA5SP399",2942,1925,3122,3580,3018,2418,3711,2895
"AC020779.2",2237,1812,2159,2091,1664,1476,1918,1758
"GRAMD2A",23,27,14,19,29,25,17,17
"HEXA",114,82,77,87,86,73,133,79
"RPL12P35",707,497,609,631,726,675,657,545
"MIR630",204,151,160,161,197,166,226,170
"LINC02259",687,598,885,754,792,720,1032,772
"AC009712.1",495,424,661,653,629,599,814,616
"ADPGK",1051,933,1320,1106,1164,1080,1276,971
"AC103874.1",1324,977,1203,1113,1161,1030,1265,928
"AC068397.2",668,531,715,592,906,805,929,786
"NPTN-IT1",24,8,14,20,8,10,17,9
"CD276",4289,3607,4871,4687,4102,3744,4387,3455
"INSYN1-AS1",222,146,153,168,253,216,207,176
"TBC1D21",408,288,414,435,537,396,451,327
"LOXL1-AS1",56,51,30,36,52,57,47,32
"AC090826.2",1988,1512,2458,2579,2162,1806,2760,2288
"MIR6881",1357,1264,1185,1046,1679,1477,1409,1082
"AC012435.2",187,121,107,110,217,188,120,119
"AC012435.3",83,74,117,135,120,106,126,96
"ARID3B",35,19,21,19,16,17,23,29
"AC100835.1",64,48,20,20,81,66,21,19
"EDC3",38,40,59,49,22,23,36,26
"CYP1A1",70,60,64,50,65,55,67,61
"CYP1A2",938,760,1120,1041,1023,972,1387,1123
"MIR4513",1267,925,1342,1189,1255,1113,1409,1012
"FAM219B",23,21,20,24,24,16,13,19
"COX5A",905,750,1448,1279,718,723,1321,1070
"SCAMP5",686,612,914,754,652,583,881,649
"AC015720.1",4890,3854,4887,4701,3778,3524,4435,3945
"NIFKP4",28,38,20,12,45,32,21,21
"RN7SL327P",1639,1343,1726,1523,1715,1594,1940,1632
"COMMD4",346,325,317,260,249,282,293,212
"NEIL1",14,14,8,5,29,21,10,7
"MIR631",55,40,23,16,49,47,35,28
"SNX33",1465,1001,2029,2384,1929,1633,2421,1983
"AC019294.2",1396,914,1435,1609,1670,1321,1670,1404
"AC019294.3",1138,879,989,969,1227,1081,1131,896
"MIR4313",149,121,265,253,218,186,294,248
"AC019294.1",266,250,326,306,376,301,443,355
"FBXO22",321,299,311,312,334,284,365,268
"AC027104.1",106,80,38,52,142,119,74,57
"TMEM266",60,57,80,80,132,92,105,83
"SCAPER",900,712,1062,1082,817,690,1200,1015
"AC090751.1",1338,1203,1252,1070,1385,1308,1616,1193
"RN7SL278P",1874,1560,1916,1750,1862,1633,2186,1530
