gene_symbol,comparison,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Z97056.3,treat_vs_con,187.556948350641,0.0301398290809013,0.127251060119672,0.236853265132381,0.812770627401928,0.882533738674451
TOMM22,treat_vs_con,15.8949188167356,-0.562758815442667,0.241518541659504,-2.33008534904145,0.0198016406164233,0.0549072985358542
JOSD1,treat_vs_con,1253.73455765181,0.41779332563407,0.0931025693368808,4.48745215744082,7.20799915844559e-06,7.82734940281308e-05
AL021707.5,treat_vs_con,528.548682305264,0.149328966736889,0.195147808203752,0.765209551218613,0.444146773110545,0.58920468155681
AL021707.3,treat_vs_con,21.8010974119201,0.508632764460774,0.231885283470543,2.19346720433592,0.028273734962124,0.07290976006025
AL021707.1,treat_vs_con,810.209955518386,0.179994600166311,0.0850600678811988,2.11608813218566,0.0343373126534453,0.0852000436654308
DNAL4,treat_vs_con,207.055687937748,0.74812789752982,0.111263578019811,6.7239244939311,1.76894123762864e-11,8.92043537184559e-10
NPTXR,treat_vs_con,705.885099640637,0.285651454501707,0.16431656173028,1.73842156562766,0.0821365594697272,0.168511794183363
APOBEC3B,treat_vs_con,9076.78281021368,-0.262924824212968,0.124654735497996,-2.10922451652225,0.0349252066887012,0.0863671257072672
APOBEC3C,treat_vs_con,667.926862244488,0.2604681964303,0.155700537906341,1.67287923299906,0.0943510727891427,0.18771678754632
APOBEC3D,treat_vs_con,2384.95675134731,0.912909119628308,0.0811984858432925,11.2429327979115,2.50905746551047e-29,2.14013681421485e-26
COX5BP7,treat_vs_con,3003.72886776551,0.279106877004152,0.0794488450393194,3.51303882222607,0.000443012741677601,0.00244496767411554
SNORD83B,treat_vs_con,66.2539877424418,-0.222695318367148,0.183176689519286,-1.21574049051532,0.224083794562917,0.361504114928582
SNORD43,treat_vs_con,5299.76165939976,0.394747138680083,0.122930332566987,3.21114512941692,0.00132207147608184,0.00601973589478277
SYNGR1,treat_vs_con,19.664153009603,-0.699794860124876,0.243022397379989,-2.87954883035196,0.00398244621548221,0.0149194288786371
MTFR2P2,treat_vs_con,1445.14242004115,0.027376618139962,0.104324097185379,0.262418931757589,0.792998478539859,0.868964601785866
TNRC6B,treat_vs_con,1248.26377348298,0.173309816241118,0.120624289163669,1.43677378281552,0.150782282139632,0.269370195728624
ADSL,treat_vs_con,14.9054019884152,-0.248942432419804,0.250062526071061,-0.995520745675666,0.319483059507691,0.467603442214092
MRTFA,treat_vs_con,49.1350298440067,-0.390829770135689,0.195241244708838,-2.00177872620373,0.0453085349392673,0.106125683462027
AL022238.2,treat_vs_con,4865.73297694249,-0.29805994950698,0.0616931066483922,-4.8313331213115,1.35621866944373e-06,1.80101637591964e-05
AL022238.1,treat_vs_con,199.594674225935,-0.169721645347708,0.142811235078809,-1.18843342580189,0.234662693963794,0.373384206079119
JTBP1,treat_vs_con,19.6324730116183,-0.194523169318967,0.234985623192018,-0.827808810924629,0.407778784030259,0.555231131771899
DNAJB7,treat_vs_con,535.466860355946,0.22769973218286,0.133847947235695,1.70118210167167,0.088908797691447,0.179246362317314
RNU6-379P,treat_vs_con,13997.4746750805,-0.113802435864065,0.110772469411073,-1.02735306406999,0.304254244054982,0.451029680792422
RNU6-375P,treat_vs_con,106.597127545698,-0.131519965836784,0.148618931547414,-0.884947593603345,0.376184897031332,0.524239966232321
L3MBTL2-AS1,treat_vs_con,3375.62204239342,0.325145413992801,0.0641426730159975,5.06909672928206,3.99708066058049e-07,6.20512592287903e-06
TEF,treat_vs_con,53.2320989014026,0.056643926565926,0.198209831636335,0.285777582768211,0.775048478767233,0.856372014592015
TOB2,treat_vs_con,64.0942885564313,-0.874977202982483,0.246610085427069,-3.54801873356977,0.000388140613699597,0.00218830756667829
AL023553.1,treat_vs_con,27.4523874056111,-0.492154211857027,0.221024665433645,-2.22669361761699,0.0259677572819338,0.0681940882602997
PMM1,treat_vs_con,2670.95001846469,0.178767287049207,0.0866188581012773,2.0638379559355,0.0390330829865035,0.09448508863327
RNU6-476P,treat_vs_con,36.4799610254077,-0.0148929338781629,0.234341422791183,-0.0635522892230356,0.949326722580496,0.970136467294015
C22orf46,treat_vs_con,25468.7682068027,-0.216937207973158,0.124390917526875,-1.74399556081969,0.081159863913371,0.167156035769676
SREBF2-AS1,treat_vs_con,1192.84653298812,-0.1953385161726,0.096061629244783,-2.0334707802513,0.0420049827376919,0.10002760626934
NAGA,treat_vs_con,2537.52323281287,-0.342186697119752,0.0936046958254868,-3.65565738024204,0.000256523775299442,0.00155537067844624
OLA1P1,treat_vs_con,417.078489973583,-0.273874604615225,0.115458735376941,-2.37205616119993,0.017689401696436,0.0501866441584304
AC254562.1,treat_vs_con,555.216251202148,-0.312054708991587,0.0969341753670099,-3.21924344855767,0.00128529314617373,0.00587307034012641
AC254562.3,treat_vs_con,45.7016444945429,-0.417642597017795,0.188480133404834,-2.21584412889153,0.0267021790462134,0.0697554510092904
CYP2D7,treat_vs_con,856.714988907877,-0.454604023619962,0.0786833570413039,-5.77763888977593,7.57561803862089e-09,1.95157532477394e-07
CYP2D8P,treat_vs_con,435.047246261153,0.254764726191465,0.106765581171102,2.38620652271055,0.0170231883178966,0.0487084774584576
SERHL,treat_vs_con,1234.76716284908,-0.0577380930332857,0.123818340799914,-0.466312927957809,0.640991526387565,0.757767581681339
RRP7A,treat_vs_con,1101.55412724736,0.270099163770825,0.106243019481164,2.54227680171224,0.0110132916202401,0.0344020451400658
RN7SKP80,treat_vs_con,790.180187434884,0.16504159359787,0.105522427128093,1.56404281146345,0.117807514796259,0.22323756852126
RNU6-513P,treat_vs_con,648.593834723748,-0.158608166661078,0.0862768554046934,-1.83836286008692,0.0660089540343804,0.142141246121201
POLDIP3,treat_vs_con,996.859904232707,-0.333757193481138,0.139025245528996,-2.40069486812399,0.0163639752979981,0.0472515910971948
RNU12,treat_vs_con,241.232398844568,0.253651662195133,0.108376660521567,2.34046390592241,0.0192597999632841,0.0537184149393105
ATP5MGL,treat_vs_con,2942.42134671872,-0.292872608434269,0.122591928655694,-2.38900400414465,0.0168941182347905,0.0484469686825965
RPL5P34,treat_vs_con,104.093988454911,0.192044598413442,0.170101991366808,1.1289967675882,0.258899197264307,0.401232651700866
GOLGA2P4,treat_vs_con,379.868454975152,0.0808383202010069,0.118741611048823,0.680791842783473,0.496003212302532,0.635752601465269
AL049757.1,treat_vs_con,645.021422620277,0.128784957570573,0.0952094838657224,1.35264841633007,0.176167977087824,0.302318511392594
TTLL12,treat_vs_con,179.767531722495,0.0315941821381078,0.112315146530414,0.281299389388699,0.778480778607959,0.858727349681851
SCUBE1-AS2,treat_vs_con,1692.20920671654,-0.0355879327768159,0.163739085785855,-0.217345373623005,0.827939199082582,0.892376723189212
HMGN2P9,treat_vs_con,345.204221752379,0.165502052163582,0.115205333184029,1.43658325174244,0.150836445320755,0.26942437640289
Z97055.2,treat_vs_con,299.521648736197,-1.14727285318603,0.126670796322176,-9.0571219767818,1.33937788422661e-19,3.56343795370704e-17
SULT4A1,treat_vs_con,2068.29611551565,0.108555581685285,0.0827409506972084,1.31199340556946,0.189522359573638,0.319410171535693
PNPLA5,treat_vs_con,346.402904470241,0.457778978990583,0.104316925716038,4.38834806382915,1.14214883174006e-05,0.000114817580603133
PARVB,treat_vs_con,258.398129815507,-0.372677433888526,0.19378075874125,-1.92319111716428,0.054456052420546,0.122316061848828
PARVG,treat_vs_con,23.5345804056485,0.217561968577091,0.234859462107702,0.926349599137381,0.354264327673145,0.502911944832043
LINC01656,treat_vs_con,52.8411447903242,-0.294192626949846,0.230366673606393,-1.27706244286232,0.201580202913998,0.33446364836179
MRPS18CP6,treat_vs_con,22.6227547213704,-0.695016702372025,0.227126849603381,-3.06003761151839,0.00221309197163285,0.00916784488973598
LINC00229,treat_vs_con,1015.72724492125,-0.0542492489231903,0.0915373796921265,-0.592645857961526,0.553418182370786,0.685872297178026
ANP32BP2,treat_vs_con,19.3072270099853,-0.0682539779184166,0.240071776749079,-0.284306547161332,0.776175469173445,0.856919486643445
Z82243.1,treat_vs_con,1875.98934948914,0.118285653936259,0.0983951816712345,1.20214884435586,0.229305864936105,0.367360756003846
MIR1249,treat_vs_con,465.493845816015,0.0398508619751906,0.098954572817128,0.402718751045862,0.687155138034727,0.793258841551124
UPK3A,treat_vs_con,881.334620329204,0.0160994700253098,0.122326239410871,0.131610929125636,0.895292040536023,0.935011134972117
FAM118A,treat_vs_con,153.319348766436,-0.247358053736301,0.135297977751754,-1.82824649596873,0.0675125657378091,0.144793106587927
LINC01589,treat_vs_con,1054.20316981778,0.202847311097931,0.101183072262302,2.00475540584574,0.0449892020703207,0.105505832393179
RNU6-1161P,treat_vs_con,102.328349579164,-0.75107249487935,0.147903569696252,-5.07812283653343,3.81182230758738e-07,5.95719098181974e-06
Z95331.1,treat_vs_con,306.276843761341,-0.0576676556369628,0.112503642647799,-0.512584786409946,0.608241797485185,0.732627262082531
BX324167.1,treat_vs_con,980.235260907626,0.41806927270412,0.0875123614144362,4.77725964591735,1.77700258770926e-06,2.29463823689888e-05
BX537318.1,treat_vs_con,1000.57804849721,-0.231593695745979,0.0939647593376429,-2.46468673339326,0.0137133087281603,0.04095414495534
PKDREJ,treat_vs_con,65.5966554842595,-0.658937014061844,0.167012234583777,-3.94544157620564,7.96530523062581e-05,0.00058950899287188
GTSE1,treat_vs_con,179.419385054096,-0.155888447879898,0.21574680490046,-0.722552753223023,0.469954704195955,0.611147062232242
CELSR1,treat_vs_con,3135.52474220658,-0.0552239834480061,0.110741944382543,-0.498672691326806,0.618009986094771,0.740182559409221
AL031597.1,treat_vs_con,34.0946175803424,-0.761109171994347,0.213807434724819,-3.55978814756341,0.000371154089258433,0.00210716657518281
TBC1D22A-AS1,treat_vs_con,57.9123382153477,-0.190580771095304,0.169722795192104,-1.12289436948992,0.261482359124882,0.404326288707981
Z83836.1,treat_vs_con,915.912359874251,-0.0831946575404825,0.0798183482609116,-1.04229991415676,0.297272652154255,0.443380465435174
BX284656.1,treat_vs_con,13.2563686439926,0.0902354600833579,0.247481504595454,0.364614964786405,0.715398842521889,0.814169152515323
MIR3201,treat_vs_con,395.083700907575,-0.134983538859087,0.107130233167024,-1.25999482003029,0.207671230883023,0.341493474398544
AL008720.2,treat_vs_con,151.559276700531,0.346419075199016,0.143530834274223,2.41355160339391,0.0157978906460477,0.0459696870750823
Z84468.2,treat_vs_con,480.500330321837,0.0914475046037553,0.0964132455090462,0.948495241716295,0.342877394030179,0.491084190391655
TAFA5,treat_vs_con,1577.10645024265,0.203444871410614,0.136078684254907,1.49505319311814,0.134900560248103,0.247520873387453
MIR4535,treat_vs_con,1386.54839305305,0.912237098019629,0.124557641303195,7.32381480955542,2.41019240752481e-13,1.80542131264637e-11
C22orf34,treat_vs_con,190.506667366225,-0.390603011569612,0.140589295060696,-2.77832683776512,0.00546396276639411,0.0194049273758867
Z97192.1,treat_vs_con,28.8149679522274,-0.462258608488028,0.227411644022966,-2.03269542539935,0.0420833037616684,0.10016701795509
Z97192.4,treat_vs_con,615.798972192587,-0.300419460676467,0.106827474102156,-2.81219286706326,0.00492049897046343,0.0178068057254271
RN7SKP252,treat_vs_con,719.498494523738,0.0603411318955463,0.0805601694524422,0.749019426171491,0.453845496845183,0.597619331557046
Z98885.3,treat_vs_con,66.0647147026145,0.113106167171334,0.166928104060446,0.677574143718647,0.498041744777119,0.637624007604391
Z98885.1,treat_vs_con,23.1893201020932,-0.625988705660927,0.221722099483896,-2.82330316697363,0.00475316020843235,0.0172782132335264
AL117328.2,treat_vs_con,181.739455927031,-0.218889445038233,0.113890458744234,-1.92192961071302,0.0546146153477638,0.12254735050623
CRELD2,treat_vs_con,112.26414175646,-0.0450457768686801,0.158245580063619,-0.284657409392228,0.775906623560168,0.85676527813119
BX539320.1,treat_vs_con,1162.96624842315,0.173020820914016,0.114198312563158,1.51509087157769,0.12974939306516,0.23998116797177
IL17REL,treat_vs_con,216.655658880011,-0.226402011387273,0.133970702461693,-1.68993673413043,0.09104005891095,0.182755190458549
